Text_Clean,Latitude,Longitude,Country,coordinates,city
you and me against the world by helen reddy is  nowplaying in cat  amp  fiddle ilkeston   download it now at ,52.95864504,-1.32885599,GB,"[52.95864504, -1.32885599]",Derbyshire
i scored two and put us   up however eventually went down   to top of the league   ,52.45609908,-1.94413633,GB,"[52.45609908, -1.94413633]",West Midlands
here  renderconf im just here for the swarm checkin at kings centre ,51.74830071,-1.27232205,GB,"[51.74830071, -1.27232205]",Oxfordshire
really its my birthday happy birthday to an absolute queen    queen  queensbirthday  ,51.5206,-0.1477,GB,"[51.5206, -0.1477]",Greater London
 what a load of crapvardy did it all the time for fleetwoodslightest touch and they think they are entitled to go down,52.39085681,-2.26066674,GB,"[52.39085681, -2.26066674]",Worcestershire
look a red panda at  renderconf  ,51.50904110000001,-0.1901788,GB,"[51.50904110000001, -0.1901788]",Greater London
"the wellsburg fedora   now available in store  amp  online 

 thomasfarthing  thomasfarthinglondon  ",51.5179362,-0.12559489999999998,GB,"[51.5179362, -0.12559489999999998]",Greater London
 talks about the mistake of the iraq war  crisis is borne in part of the failure to use institutions to solve issues such as un,51.51522604,-0.11789224,GB,"[51.51522604, -0.11789224]",Greater London
"look what arrived this week 
      
 countdown  vitality  hackneyhalf  halfmarathon  training  ",51.43825517,-0.16509841,GB,"[51.43825517, -0.16509841]",Greater London
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa steady,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
 skilledtrade in  leicester leicestershire  fire installation engineer   east midlands at is amp s   uk  amp  ireland ,52.6545818,-1.137065,GB,"[52.6545818, -1.137065]",Leicester
good morning buddies    btposse  borderterrierposse  borderterrierlover  borderterrier  ,51.18,-3.0,GB,"[51.18, -3.0]",Somerset
enjoying celebrating queen elizabeth ii th birthday   gpsclass ,51.5765949,-3.0166692000000004,GB,"[51.5765949, -3.0166692000000004]",Newport
this  sales  job might be a great fit for you  account executive   mid market     miltonkeynes england  hiring,52.04163270000001,-0.7073,GB,"[52.04163270000001, -0.7073]",Milton Keynes
"i want sun    

   holiday  pretty  streetstyle  shopping  retail  want  ",53.2300072,-1.4512774,GB,"[53.2300072, -1.4512774]",Derbyshire
i hope the queen lives to be     to keep dumbo off the throne         vivarepublic,53.72883573,-2.50366136,GB,"[53.72883573, -2.50366136]",Blackburn with Darwen
excellent performance in london has fallen and criminal    ,51.54692264,-0.17538846,GB,"[51.54692264, -0.17538846]",Greater London
 is there a tube workers strike this sunday th do you have a link on any information ,53.4749073,-2.24531423,GB,"[53.4749073, -2.24531423]",Greater Manchester
"twas goood ramen  
 rich pork broth super yummy
 tonkotsu  ramen  yumminess at tonkotsu bar and  ",51.5129585,-0.13223970000000002,GB,"[51.5129585, -0.13223970000000002]",Greater London
im at  in manchester w   ,53.50159098,-2.19470789,GB,"[53.50159098, -2.19470789]",Greater Manchester
its end of april and i am dying to swap this hot mug of lemon and water with a chilled nimboo pani come on summer ,51.500754,-0.055444500000000015,GB,"[51.500754, -0.055444500000000015]",Greater London
 its the queens birthday but its my dads th he like fleetwood mac orsystem of a down so please play     peoplesplaylist,53.48765665,-1.35704116,GB,"[53.48765665, -1.35704116]",South Yorkshire
bluebell in  highburypark  macro  igbestmacros  macrohighlight  macros  macrobrilliance  ,52.4133758,-1.9040809,GB,"[52.4133758, -1.9040809]",West Midlands
 businessrocks at manchester central in manchester greater manchester  ,53.47624708,-2.24709034,GB,"[53.47624708, -2.24709034]",Greater Manchester
we still have appointments tomorrow but non on saturday     open  ,53.795826,-1.5420951,GB,"[53.795826, -1.5420951]",West Yorkshire
chelmsford celebrates as the queen turns    maldon  essex,51.68378161,0.68586498,GB,"[51.68378161, 0.68586498]",Essex
oysters caught  hours before       w  bakinzoda pilkalape  oysters  isleofskye  oystershed  ,57.41258854,-6.19334612,GB,"[57.41258854, -6.19334612]",Highland Council
happy thursday breakfast with     starbucks  ,53.03034975,-2.20897463,GB,"[53.03034975, -2.20897463]",Staffordshire
im at edmonton county court ,51.61055476,-0.06644947,GB,"[51.61055476, -0.06644947]",Greater London
waiting by city and colour is  nowplaying in chambers grimsby   download it now at ,53.56448382,-0.08773732,GB,"[53.56448382, -0.08773732]",North East Lincolnshire
another great day ahead in the office      purplecoat   springvibes  london  blondhair  ,51.508755,-0.14743,GB,"[51.508755, -0.14743]",Greater London
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa steady,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
 and such hard work   she is amazing,51.45144109,-0.32589525,GB,"[51.45144109, -0.32589525]",Greater London
im at cardiff county hall    in cardiff ,51.46932836,-3.16314924,GB,"[51.46932836, -3.16314924]",Cardiff
 sounds a fun game,53.29887950000001,-2.3485801,GB,"[53.29887950000001, -2.3485801]",Cheshire East
back at   expo today  come and see us at stand l  scotspirit at royal highland  ,55.94335468,-3.37351296,GB,"[55.94335468, -3.37351296]",Edinburgh
 uknof at uknof    in manchester  ,53.475807,-2.247358,GB,"[53.475807, -2.247358]",Greater Manchester
my home for the next  hours    seattle at london heathrow british airways terminal  ,51.47151345,-0.48846163,GB,"[51.47151345, -0.48846163]",Greater London
